"DateTime","windcode","open","high","low","close","volume","amount","change","pctchange","begintime","endtime"
2019-05-22 09:30:00,000048.SZ,19.1,19.1,19.02,19.02,700,13346,0.02,0.001053,201905220930.951996,201905220930.951996
2019-05-22 09:31:00,000048.SZ,19.08,19.08,19.02,19.02,3100,59096,0,0,201905220931.951996,201905220931.951996
2019-05-22 09:32:00,000048.SZ,19.05,19.05,19.02,19.02,1100,20934,0,0,201905220932.951996,201905220932.951996
2019-05-22 09:33:00,000048.SZ,19.05,19.08,19.02,19.08,7500,142816,0.06,0.003155,201905220933.951996,201905220933.951996
2019-05-22 09:34:00,000048.SZ,19,19,19,19,3600,68400,-0.08,-0.004193,201905220934.951996,201905220934.951996
2019-05-22 09:35:00,000048.SZ,19.08,19.08,18.98,18.98,4000,75998,-0.02,-0.001053,201905220935.951996,201905220935.951996
2019-05-22 09:36:00,000048.SZ,18.98,18.98,18.92,18.92,700,13262,-0.06,-0.003161,201905220936.951996,201905220936.951996
2019-05-22 09:37:00,000048.SZ,18.92,18.92,18.92,18.92,2200,41635,0,0,201905220937.951996,201905220937.951996
2019-05-22 09:38:00,000048.SZ,18.92,19.07,18.92,19.07,2900,55104,0.15,0.007928,201905220938.951996,201905220938.951996
2019-05-22 09:39:00,000048.SZ,19.06,19.08,19.06,19.08,9800,186947,0.01,0.000524,201905220939.951996,201905220939.951996
2019-05-22 09:40:00,000048.SZ,19.08,19.08,19.08,19.08,2000,38160,0,0,201905220940.951996,201905220940.951996
2019-05-22 09:41:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 09:42:00,000048.SZ,19.07,19.07,19.07,19.07,2900,55293,-0.01,-0.000524,201905220942.951996,201905220942.951996
2019-05-22 09:43:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 09:44:00,000048.SZ,19.08,19.08,19.08,19.08,1000,19078,0.01,0.000524,201905220944.951996,201905220944.951996
2019-05-22 09:45:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 09:46:00,000048.SZ,19.08,19.08,19.08,19.08,9900,188892,0,0,201905220946.951996,201905220946.951996
2019-05-22 09:47:00,000048.SZ,19.07,19.07,19.01,19.01,300,5715,-0.07,-0.003669,201905220947.951996,201905220947.951996
2019-05-22 09:48:00,000048.SZ,19.07,19.07,19.07,19.07,2000,38140,0.06,0.003156,201905220948.951996,201905220948.951996
2019-05-22 09:49:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 09:50:00,000048.SZ,19,19,19,19,5300,100772,-0.07,-0.003671,201905220950.951996,201905220950.951996
2019-05-22 09:51:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 09:52:00,000048.SZ,19,19,19,19,2400,45600,0,0,201905220952.951996,201905220952.951996
2019-05-22 09:53:00,000048.SZ,19,19,19,19,1800,34200,0,0,201905220953.951996,201905220953.951996
2019-05-22 09:54:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 09:55:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 09:56:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 09:57:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 09:58:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 09:59:00,000048.SZ,19,19,19,19,5000,95000,0,0,201905220959.951996,201905220959.951996
2019-05-22 10:00:00,000048.SZ,19,19,19,19,200,3800,0,0,201905221000.951996,201905221000.951996
2019-05-22 10:01:00,000048.SZ,18.97,18.97,18.97,18.97,1300,24668,-0.03,-0.001579,201905221001.951996,201905221001.951996
2019-05-22 10:02:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:03:00,000048.SZ,18.97,18.97,18.97,18.97,400,7588,0,0,201905221003.951996,201905221003.951996
2019-05-22 10:04:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:05:00,000048.SZ,19,19,19,19,100,1900,0.03,0.001581,201905221005.951996,201905221005.951996
2019-05-22 10:06:00,000048.SZ,19,19,19,19,500,9500,0,0,201905221006.951996,201905221006.951996
2019-05-22 10:07:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:08:00,000048.SZ,19.08,19.08,19.08,19.08,3000,57215,0.08,0.00421,201905221008.951996,201905221008.951996
2019-05-22 10:09:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:10:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:11:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:12:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:13:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:14:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:15:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:16:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:17:00,000048.SZ,19.08,19.08,19.08,19.08,100,1908,0,0,201905221017.951996,201905221017.951996
2019-05-22 10:18:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:19:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:20:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:21:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:22:00,000048.SZ,19.08,19.08,19.08,19.08,100,1908,0,0,201905221022.951996,201905221022.951996
2019-05-22 10:23:00,000048.SZ,19.08,19.1,19.08,19.1,1200,22908,0.02,0.001048,201905221023.951996,201905221023.951996
2019-05-22 10:24:00,000048.SZ,19.1,19.1,19.1,19.1,400,7640,0,0,201905221024.951996,201905221024.951996
2019-05-22 10:25:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:26:00,000048.SZ,19.12,19.12,19.12,19.12,400,7648,0.02,0.001047,201905221026.951996,201905221026.951996
2019-05-22 10:27:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:28:00,000048.SZ,19.12,19.12,19.12,19.12,200,3824,0,0,201905221028.951996,201905221028.951996
2019-05-22 10:29:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:30:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:31:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:32:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:33:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:34:00,000048.SZ,19.02,19.02,19.02,19.02,6000,114120,-0.1,-0.00523,201905221034.951996,201905221034.951996
2019-05-22 10:35:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:36:00,000048.SZ,19,19,19,19,7200,136804,-0.02,-0.001051,201905221036.951996,201905221036.951996
2019-05-22 10:37:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:38:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:39:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:40:00,000048.SZ,19.06,19.06,19.06,19.06,100,1906,0.06,0.003158,201905221040.951996,201905221040.951996
2019-05-22 10:41:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:42:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:43:00,000048.SZ,19.1,19.1,19.1,19.1,5000,95457,0.04,0.002099,201905221043.951996,201905221043.951996
2019-05-22 10:44:00,000048.SZ,19.1,19.1,19.1,19.1,600,11460,0,0,201905221044.951996,201905221044.951996
2019-05-22 10:45:00,000048.SZ,19.1,19.1,19.1,19.1,4900,93590,0,0,201905221045.951996,201905221045.951996
2019-05-22 10:46:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:47:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:48:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:49:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:50:00,000048.SZ,19.09,19.09,19.09,19.09,200,3818,-0.01,-0.000524,201905221050.951996,201905221050.951996
2019-05-22 10:51:00,000048.SZ,19.09,19.09,19.09,19.09,900,17181,0,0,201905221051.951996,201905221051.951996
2019-05-22 10:52:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:53:00,000048.SZ,19.09,19.09,19.09,19.09,200,3818,0,0,201905221053.951996,201905221053.951996
2019-05-22 10:54:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:55:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:56:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:57:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:58:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:59:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:00:00,000048.SZ,19.1,19.1,19.1,19.1,200,3820,0.01,0.000524,201905221100.951996,201905221100.951996
2019-05-22 11:01:00,000048.SZ,19.1,19.1,19,19,11700,222562,-0.1,-0.005236,201905221101.951996,201905221101.951996
2019-05-22 11:02:00,000048.SZ,19.1,19.1,19.1,19.1,2000,38200,0.1,0.005263,201905221102.951996,201905221102.951996
2019-05-22 11:03:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:04:00,000048.SZ,19.01,19.01,19.01,19.01,700,13307,-0.09,-0.004712,201905221104.951996,201905221104.951996
2019-05-22 11:05:00,000048.SZ,19.1,19.1,19.01,19.01,1300,24803,0,0,201905221105.951996,201905221105.951996
2019-05-22 11:06:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:07:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:08:00,000048.SZ,19.01,19.01,19.01,19.01,6100,116061,0,0,201905221108.951996,201905221108.951996
2019-05-22 11:09:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:10:00,000048.SZ,19,19,19,19,1400,26600,-0.01,-0.000526,201905221110.951996,201905221110.951996
2019-05-22 11:11:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:12:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:13:00,000048.SZ,19.11,19.11,19.11,19.11,300,5733,0.11,0.00579,201905221113.951996,201905221113.951996
2019-05-22 11:14:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:15:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:16:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:17:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:18:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:19:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:20:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:21:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:22:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:23:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:24:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:25:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:26:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:27:00,000048.SZ,19.1,19.1,19.1,19.1,900,17190,-0.01,-0.000523,201905221127.951996,201905221127.951996
2019-05-22 11:28:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:29:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:30:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:00:00,000048.SZ,19.07,19.07,19.07,19.07,2500,47695,-0.03,-0.001571,201905221300.951996,201905221300.951996
2019-05-22 13:01:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:02:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:03:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:04:00,000048.SZ,19.08,19.08,19.08,19.08,4900,93492,0.01,0.000524,201905221304.951996,201905221304.951996
2019-05-22 13:05:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:06:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:07:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:08:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:09:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:10:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:11:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:12:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:13:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:14:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:15:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:16:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:17:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:18:00,000048.SZ,19.08,19.08,19.07,19.07,300,5722,-0.01,-0.000524,201905221318.951996,201905221318.951996
2019-05-22 13:19:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:20:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:21:00,000048.SZ,19.05,19.05,19.05,19.05,700,13335,-0.02,-0.001049,201905221321.951996,201905221321.951996
2019-05-22 13:22:00,000048.SZ,19.05,19.05,19.05,19.05,1300,24765,0,0,201905221322.951996,201905221322.951996
2019-05-22 13:23:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:24:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:25:00,000048.SZ,19.03,19.03,19.03,19.03,2200,41866,-0.02,-0.00105,201905221325.951996,201905221325.951996
2019-05-22 13:26:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:27:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:28:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:29:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:30:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:31:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:32:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:33:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:34:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:35:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:36:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:37:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:38:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:39:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:40:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:41:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
